SubCounty,Group,Total,StillinSchool_No.,StillinSchool_Perc,LeftSchoolAfterC_No.,LeftSchoolAfterC_Perc,LeftSchoolBeforeC_No.,LeftSchoolBeforeC_Perc,NeverbeentoSchool_No.,NeverbeentoSchool_Perc,DK_No.,DK_Perc,NotStated_No.
BORABU,Total,68779,30834,44.8,18623,27.1,12272,17.8,6531,9.5,512,0.7,7
BORABU,Male,34446,15988,46.4,9755,28.3,5570,16.2,2892,8.4,239,0.7,2
BORABU,Female,34333,14846,43.2,8868,25.8,6702,19.5,3639,10.6,273,0.8,5
MANGA,Total,88406,40147,45.4,22106,25,14960,16.9,10811,12.2,369,0.4,13
MANGA,Male,41976,20317,48.4,11017,26.2,6195,14.8,4275,10.2,167,0.4,5
MANGA,Female,46428,19828,42.7,11089,23.9,8765,18.9,6536,14.1,202,0.4,8
MASABA NORTH,Total,104344,47656,45.7,24917,23.9,19783,19,11634,11.1,347,0.3,7
MASABA NORTH,Male,49088,24105,49.1,12472,25.4,7958,16.2,4382,8.9,168,0.3,3
MASABA NORTH,Female,55254,23550,42.6,12444,22.5,11825,21.4,7252,13.1,179,0.3,4
NYAMIRA NORTH,Total,156770,73889,47.1,31253,19.9,32674,20.8,17828,11.4,1123,0.7,3
NYAMIRA NORTH,Male,75072,37652,50.2,15699,20.9,14010,18.7,7134,9.5,575,0.8,2
NYAMIRA NORTH,Female,81693,36233,44.4,15554,19,18663,22.8,10694,13.1,548,0.7,1
NYAMIRA SOUTH,Total,148442,67900,45.7,33018,22.2,31744,21.4,14676,9.9,1080,0.7,24
NYAMIRA SOUTH,Male,70762,34515,48.8,16539,23.4,13441,19,5706,8.1,552,0.8,9
NYAMIRA SOUTH,Female,77677,33383,43,16478,21.2,18303,23.6,8970,11.5,528,0.7,15
NAIROBI CITY,Total,4010447,1358304,33.9,1921640,47.9,505807,12.6,187364,4.7,35729,0.9,1603
NAIROBI CITY,Male,1986852,671188,33.8,984163,49.5,228088,11.5,83093,4.2,19514,1,806
NAIROBI CITY,Female,2023404,687064,34,937410,46.3,277670,13.7,104255,5.2,16211,0.8,794
DAGORETTI,Total,398369,133970,33.6,184694,46.4,61613,15.5,14655,3.7,3263,0.8,174
DAGORETTI,Male,199539,65978,33.1,96589,48.4,28266,14.2,6709,3.4,1909,1,88
DAGORETTI,Female,198804,67984,34.2,88093,44.3,33342,16.8,7945,4,1354,0.7,86
EMBAKASI,Total,904247,298718,33,469862,52,96184,10.6,31817,3.5,7374,0.8,292
EMBAKASI,Male,449669,146665,32.6,242593,53.9,41871,9.3,14469,3.2,3922,0.9,149
EMBAKASI,Female,454540,152044,33.5,227255,50,54303,11.9,17344,3.8,3452,0.8,142
KAMUKUNJI,Total,242507,76129,31.4,89024,36.7,32671,13.5,41976,17.3,2560,1.1,147
KAMUKUNJI,Male,122131,38702,31.7,48523,39.7,15827,13,17406,14.3,1599,1.3,74
KAMUKUNJI,Female,120369,37427,31.1,40499,33.6,16840,14,24569,20.4,961,0.8,73
KASARANI,Total,710889,246064,34.6,350997,49.4,82530,11.6,24115,3.4,6962,1,221
KASARANI,Male,344378,121382,35.2,172727,50.2,35668,10.4,10936,3.2,3557,1,108
KASARANI,Female,366478,124669,34,178266,48.6,46851,12.8,13174,3.6,3405,0.9,113
KIBRA,Total,169509,64675,38.2,69361,40.9,27119,16,6547,3.9,1755,1,52
KIBRA,Male,85815,31846,37.1,37211,43.4,12797,14.9,2953,3.4,984,1.1,24
KIBRA,Female,83687,32828,39.2,32146,38.4,14320,17.1,3594,4.3,771,0.9,28
LANG'ATA,Total,180488,63974,35.4,85992,47.6,20561,11.4,8081,4.5,1805,1,75
LANG'ATA,Male,87399,31677,36.2,42299,48.4,9224,10.6,3173,3.6,994,1.1,32
LANG'ATA,Female,93081,32294,34.7,43692,46.9,11335,12.2,4908,5.3,810,0.9,42
MAKADARA,Total,176283,55981,31.8,92765,52.6,20547,11.7,5759,3.3,1189,0.7,42
MAKADARA,Male,89283,27872,31.2,48411,54.2,9575,10.7,2764,3.1,637,0.7,24
MAKADARA,Female,86991,28105,32.3,44353,51,10970,12.6,2995,3.4,550,0.6,18
MATHARE,Total,188625,61040,32.4,77503,41.1,35910,19,12099,6.4,1966,1,107
MATHARE,Male,97147,30150,31,42264,43.5,17612,18.1,5830,6,1236,1.3,55
MATHARE,Female,91465,30888,33.8,35234,38.5,18293,20,6268,6.9,730,0.8,52
NJIRU,Total,573474,205700,35.9,268935,46.9,74809,13,20046,3.5,3746,0.7,238
NJIRU,Male,280310,101161,36.1,134234,47.9,33012,11.8,9667,3.4,2112,0.8,124
NJIRU,Female,293137,104534,35.7,134687,45.9,41793,14.3,10376,3.5,1634,0.6,113
STAREHE,Total,182149,63879,35.1,82615,45.4,20722,11.4,12498,6.9,2277,1.3,158
STAREHE,Male,90480,32284,35.7,42791,47.3,9273,10.2,4884,5.4,1164,1.3,84
STAREHE,Female,91660,31593,34.5,39820,43.4,11447,12.5,7614,8.3,1112,1.2,74
WESTLANDS,Total,283907,88174,31.1,149892,52.8,33141,11.7,9771,3.4,2832,1,97
WESTLANDS,Male,140701,43471,30.9,76521,54.4,14963,10.6,4302,3.1,1400,1,44
WESTLANDS,Female,143192,44698,31.2,73365,51.2,18176,12.7,5468,3.8,1432,1,53
